order,room,slot,talk
1,track-a,opening,opening
2,track-a,a1-c,
3,track-a,a2-c,
4,track-a,break-1,
5,track-a,a3-l,
6,track-b,b3-l,
7,track-a,a4-s,
8,track-b,b4-s,
9,track-a,announce-1,
10,track-a,lunch,
11,track-a,announce-2,
12,track-a,a5-c,
13,track-a,a6-c,
14,track-a,break-2,
15,track-a,a7-l,
16,track-b,b7-l,
17,track-a,a8-s,
18,track-b,b8-s,
19,track-a,break-3,
20,track-a,a9-s,
21,track-b,b9-s,
22,track-a,a10-s,
23,track-b,b10-s,
24,track-a,a11-s,
25,track-b,b11-s,
26,track-a,break-4,
27,track-a,a12-s,
28,track-b,b12-s,
29,track-a,a13-s,
30,track-b,b13-s,
31,track-a,a14-s,
32,track-b,b14-s,
33,track-a,break-5,
34,track-a,announce-3,
35,track-a,lt1,
36,track-a,lt2,
37,track-a,lt3,
38,track-a,lt4,
39,track-a,lt5,
40,track-a,lt6,
41,track-a,lt7,
42,track-a,lt8,
43,remo,afterparty,